Sample E1,,Sample E2,,Sample E3,,Sample E4,,Sample F1,,Sample F2,,Sample F3,,Sample F4,,Sample G1,,Sample G2,,Sample G3,,Sample G4,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
80.0083313,141.1561737,80.04415131,84.72076416,80.0801239,63.99901199,80.11604309,418.2743225,80.26621246,146.115509,80.23023224,91.82836151,80.19404602,62.49380112,80.15739441,421.063324,80.30754089,121.4008026,80.34337616,85.80741119,80.37828827,58.81478119,80.41420746,382.3774109,
81.0083313,140.9420929,81.04405975,83.62223816,81.08087921,63.72915268,81.11611938,417.7018433,81.26372528,146.331543,81.2273941,91.63071442,81.19187927,62.50642395,81.15608978,420.8841248,81.30323029,121.0992279,81.33856964,85.38771057,81.37389374,58.22906113,81.41020203,380.4676208,
82.0083313,140.3505859,82.04564667,84.82463074,82.08137512,64.31040955,82.11637115,418.5391541,82.26541138,144.880127,82.22953796,91.6561203,82.19389343,62.28045654,82.15703583,422.6869812,82.30541992,120.5106201,82.34114838,85.764328,82.37722778,58.03980637,82.41262054,381.2861328,
83.0083313,140.7372437,83.04470825,83.58664703,83.07987213,63.36127853,83.11621094,416.7685547,83.26573181,145.9663544,83.22953796,91.79602051,83.19371033,62.49872971,83.15781403,419.4833069,83.30703735,120.5120087,83.34353638,85.65359497,83.37889862,58.38497543,83.41537476,378.2844849,
84.0083313,143.0714722,84.04523468,83.86254883,84.08054352,64.4524231,84.11670685,414.4905701,84.26480865,145.6592407,84.2282486,91.17441559,84.19237518,62.85383606,84.15637207,421.6475525,84.30456543,121.3387909,84.34072876,85.75911713,84.37506866,58.50048447,84.4108963,378.0455933,
85.0083313,140.2978973,85.04553986,83.90811157,85.08091736,63.49258041,85.11681366,413.994873,85.26103973,145.3997345,85.22712708,91.59716797,85.19098663,62.32149506,85.15603638,419.0785828,85.30125427,121.3225632,85.33664703,84.76776886,85.37287903,58.48743057,85.40912628,377.7962952,
86.0083313,143.1703033,86.0448761,83.52590942,86.07987213,63.489048,86.11679077,411.677948,86.26454163,146.6459808,86.22871399,91.20805359,86.19271088,62.89640808,86.1580658,419.0975037,86.30506134,119.8264313,86.33987427,85.09520721,86.37620544,58.1998291,86.41175079,375.8674927,
87.0083313,142.6740875,87.04372406,83.82505035,87.0792923,62.93816757,87.11522675,409.2317505,87.26370239,145.5567627,87.22756195,92.77733612,87.19208527,62.39467239,87.15670776,419.3477478,87.30522919,120.21595,87.34141541,85.34098053,87.37604523,58.84570313,87.41256714,375.597229,
88.0083313,142.4265594,88.04424286,83.47105408,88.07990265,63.51523972,88.11573029,408.4092712,88.26454163,144.6332245,88.22820282,91.05762482,88.19273376,63.45992661,88.15714264,417.7327271,88.3056488,120.0054703,88.34181213,85.20246124,88.37724304,58.23926544,88.41306305,375.5998535,
89.0083313,142.5535126,89.04356384,84.00826263,89.07889557,62.83319855,89.11491394,408.7386475,89.26120758,145.7840118,89.2273941,90.91417694,89.19104004,62.28834152,89.15539551,419.4358826,89.30020905,121.3059769,89.33591461,85.94655609,89.37190247,58.72086334,89.40714264,374.5882874,
90.0083313,141.6526642,90.04273224,83.85519409,90.07872772,64.3082428,90.11521149,411.915802,90.26137543,145.139679,90.22554779,91.78217316,90.18987274,62.47793961,90.15514374,419.8163757,90.30224609,121.1370621,90.33771515,85.60475922,90.37406158,57.77650833,90.40973663,372.7747498,
91.0083313,144.0496063,91.04372406,83.88986206,91.08097839,63.7065773,91.11656189,409.0615234,91.26274872,145.9471893,91.2273941,90.57958984,91.19241333,62.15402985,91.15537262,415.2062683,91.30297852,120.5520706,91.33773041,85.43888855,91.37407684,58.56507111,91.41005707,370.1705627,
