Sample A1,,Sample A2,,Sample A3,,Sample B1,,Sample B2,,Sample B3,,Sample C1,,Sample C2,,Sample C3,,Sample D1,,Sample D2,,Sample D3,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
31.00083351,146.6075134,31.02116776,2.27940774,31.04185295,69.39154053,31.10718727,140.209259,31.08683205,3.496449709,31.0657711,69.9150238,31.13443756,141.9817047,31.1546669,2.407025814,31.17558479,73.09346008,31.24274826,175.0909119,31.22166824,2.6844697,31.20075035,62.98871994,
32.00083542,142.0845795,32.02083206,2.44894886,32.04137421,69.31918335,32.10850143,135.9828339,32.08737564,3.374107122,32.06616592,70.01042175,32.13452148,140.5916901,32.15475082,2.388702869,32.175354,73.28430176,32.24368668,174.9821472,32.22266769,2.729718447,32.20183182,63.32842255,
33.00083542,145.5846405,33.02050018,2.367491722,33.04137421,67.35460663,33.10950089,136.2695618,33.0881691,3.384108305,33.06783295,71.74919128,33.13402176,140.9836273,33.15420914,2.443438053,33.17543793,72.73532104,33.24483109,176.8614044,33.22316742,2.619821787,33.20183182,62.54257965,
34.00083542,145.9088287,34.0213356,2.354081392,34.0425415,69.03410339,34.11004257,135.9186707,34.08966827,3.385914087,34.0688324,71.67977142,34.13635254,138.8204498,34.15743637,2.273127556,34.17768478,73.43254089,34.24518585,178.7901306,34.22502136,2.843713284,34.20416641,62.9905777,
35.00083542,144.4126434,35.02137375,2.313467264,35.04235458,69.76392365,35.11041641,135.7141724,35.08916855,3.488987923,35.06866837,71.85539246,35.13418961,141.7212982,35.15552139,2.360662937,35.17658234,72.59420013,35.24491882,178.1436157,35.22391891,2.69009757,35.20285416,62.30754471,
36.00083542,147.5595703,36.02183533,2.36472702,36.04287338,68.69744873,36.10983658,134.800354,36.08921051,3.634283066,36.06902313,72.11833954,36.13516998,138.5365753,36.15575027,2.543494463,36.17667007,72.36801147,36.242836,181.601532,36.22158051,2.770837307,36.20137405,62.44556427,
37.00083542,144.1147003,37.02166748,2.345612526,37.04170609,69.23261261,37.10941696,135.1740417,37.08885574,3.467574358,37.06793594,71.73947906,37.13552094,140.6651611,37.15674973,2.656561375,37.17760468,73.41453552,37.24458313,176.023056,37.22420502,2.632888079,37.20301819,63.3358345,
38.00083542,141.4147797,38.02170944,2.377981424,38.04249954,70.64367676,38.11066437,136.0286102,38.09033203,3.370901585,38.06921005,72.05047607,38.13666534,138.0076294,38.15785217,2.375656843,38.17824936,72.1362915,38.24618912,182.0317078,38.22568893,2.568660736,38.20520782,62.24386215,
39.00083542,141.432724,39.02087402,2.24482131,39.04193878,67.31279755,39.11071014,135.9527588,39.08935547,3.643737555,39.06835556,71.85585785,39.13541794,142.5334015,39.15626907,2.422248125,39.17702103,72.66395569,39.24485397,180.1758575,39.22366714,2.660648346,39.20337296,62.94386673,
40.00083542,141.0115051,40.02235413,2.329971313,40.04308319,69.10843658,40.10926819,133.9743958,40.08802032,3.529985189,40.06766891,70.91795349,40.13316727,140.2120514,40.15418625,2.359463215,40.17549896,73.34085846,40.24241638,181.5968933,40.2215004,2.844873905,40.20093536,62.09990311,
41.00083542,145.3100433,41.0215416,2.425905943,41.04249954,68.87514496,41.10835266,133.9620056,41.0881691,3.547856808,41.06703949,70.03759766,41.13291931,139.8490906,41.15341949,2.579359055,41.17366409,71.87245178,41.24174881,180.0795593,41.22104263,2.819290638,41.20001984,62.47261047,
42.00083542,143.8985596,42.02099991,2.231060982,42.04135513,68.79312134,42.10908127,133.8784027,42.08802032,3.518085718,42.06766891,69.32920837,42.13585663,137.9143677,42.15637589,2.287487507,42.17691803,72.38951874,42.2452507,185.2953491,42.2240181,2.750966549,42.20349884,62.65745926,
43.00083542,141.633255,43.02219009,2.321046591,43.04327011,68.50958252,43.11091614,134.2575378,43.09010315,3.580532074,43.06968689,70.26080322,43.13735199,141.2147064,43.15775299,2.664298534,43.17844009,72.92074585,43.24451828,183.414505,43.22385406,2.613841772,43.20333099,62.95652771,
44.00083542,144.400589,44.02219009,2.39220953,44.04343796,69.88554382,44.1116066,134.0749054,44.09008408,3.811924458,44.06985092,70.50454712,44.1378746,140.6699829,44.15935516,2.486163855,44.17974854,73.4081955,44.24785614,179.2243195,44.2275238,2.862793207,44.20602036,62.56900787,
45.00083542,143.0333252,45.0222702,2.352046728,45.04283524,68.77349854,45.11021042,134.8569489,45.08935547,3.414638042,45.06837463,71.34760284,45.13635254,136.6335602,45.1574173,2.61920476,45.17850113,73.5032959,45.24691391,181.780365,45.22608185,2.97852087,45.20503998,61.73883438,
46.00083542,142.2966614,46.02099991,2.273621321,46.04187393,68.42125702,46.10741806,134.2224426,46.0868721,3.666111469,46.06583405,70.99939728,46.13249969,136.8938751,46.1528511,2.653206825,46.17391586,71.09356689,46.24241638,180.6027985,46.22101974,2.890797377,46.20001984,62.52536011,
47.00083542,146.5608826,47.02168655,2.44839263,47.04207993,67.66740417,47.10983658,133.2312622,47.08958435,3.569239378,47.06835556,70.40538788,47.13652039,138.9308472,47.15702057,2.515340567,47.17808533,72.73258209,47.24466705,185.001297,47.22333145,2.807500362,47.2021637,62.46025085,
48.00083542,143.6545105,48.02149963,2.383310556,48.04268646,67.0946579,48.10853958,134.549408,48.08833313,3.710575104,48.06710434,70.38550568,48.13483429,135.6407013,48.15602112,2.283472061,48.17635345,71.99421692,48.24451828,185.0042267,48.22418594,2.893939495,48.20299911,62.86863327,
49.00083542,142.9072571,49.02202225,2.3120749,49.04319,67.36475372,49.11018753,132.9011841,49.0893364,3.574654818,49.06949997,70.07468414,49.13666534,138.1473083,49.1571846,2.283014059,49.17774963,72.38187408,49.2452507,184.7905579,49.22435379,2.684320688,49.20399857,62.57691956,
50.00083542,141.3513336,50.02050018,2.359998941,50.04083252,68.81922913,50.10885239,133.1089325,50.08833313,3.634357691,50.06733322,69.48583221,50.13416672,135.5210876,50.15483475,2.404115915,50.17585373,74.0270462,50.24251938,183.3284454,50.22133255,2.838537216,50.20027161,61.49603271,
