Sample E1,,Sample E2,,Sample E3,,Sample F1,,Sample F2,,Sample F3,,Sample G1,,Sample G2,,Sample G3,,Sample H1,,Sample H2,,Sample H3,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
74.0008316,32.57011032,74.02198029,10.38827991,74.04248047,266.2094727,74.1107254,34.20335007,74.09033203,12.17456341,74.0690155,267.6274719,74.13735199,32.36591721,74.15852356,8.30270195,74.17935181,238.3259277,74.24501801,169.6933136,74.22451782,12.83528709,74.20423126,236.2383881,
75.0008316,32.04621887,75.02164459,9.927586555,75.04231262,269.9143066,75.11000061,32.99293518,75.08966827,13.15221405,75.06900024,255.6821747,75.13556671,32.51750565,75.15618134,9.138944626,75.17735291,229.8514862,75.24531555,170.4539185,75.22441101,13.25227833,75.20314789,228.758316,
76.0008316,31.64974213,76.02164459,10.38359547,76.04231262,257.6387634,76.110672,35.93819809,76.08950043,12.53449345,76.06833649,258.1004333,76.13668823,32.83456039,76.15766907,8.052469254,76.17816925,236.5535889,76.24601746,172.5658722,76.22556305,13.71849918,76.20423126,234.9012756,
77.0008316,32.38987732,77.02169037,10.83235073,77.04202271,258.234436,77.10849762,33.06657028,77.08756256,12.48355961,77.06708527,261.8651428,77.13514709,32.71855164,77.15568542,8.922259331,77.17700195,238.809906,77.24481964,177.4463043,77.22374725,13.62661934,77.20272827,231.2076874,
78.0008316,31.50568962,78.02050018,10.57487297,78.04116821,269.4311523,78.10691833,33.73629761,78.08639526,13.06559467,78.06589508,257.9073181,78.1319809,32.0716362,78.15316772,8.908146858,78.17383575,236.6523438,78.23950195,173.4046173,78.21883392,13.11895561,78.19850159,228.0599365,
79.0008316,31.88546371,79.02068329,10.3763485,79.04151917,267.9925232,79.10765076,33.88072968,79.0868988,12.03427887,79.06572723,262.8444824,79.13414764,32.57617188,79.15441895,8.653301239,79.17581177,235.2633667,79.24216461,176.8802643,79.22099304,13.47277832,79.20049286,233.7240601,
80.0008316,31.23418427,80.02133179,10.16561413,80.04183197,257.182251,80.10948181,33.9603653,80.08883667,12.64198399,80.06819153,260.7048035,80.13585663,31.68859673,80.15650177,8.79313755,80.17783356,238.4670105,80.24514771,175.5822449,80.22447968,13.67909908,80.20331573,232.8957214,
81.0008316,32.20708847,81.02151489,10.62445259,81.04268646,261.8128052,81.11115265,34.35209656,81.08981323,12.44748783,81.06931305,258.906311,81.13764954,31.7033596,81.15864563,9.193196297,81.17919159,235.5071564,81.2466507,174.7436523,81.22615051,12.98061275,81.20514679,228.4225159,
82.0008316,30.90569878,82.02089691,10.50994778,82.04264069,255.6357117,82.10832977,32.96764755,82.08783722,12.23603058,82.06664276,257.9107971,82.13489532,33.24009323,82.15550232,9.377005577,82.17672729,234.2067566,82.24282837,174.819809,82.22166443,13.39129448,82.20075226,228.4321289,
83.0008316,34.28204346,83.02231598,10.10900211,83.04283142,255.7047577,83.11152649,34.12543106,83.09035492,13.73498631,83.06919098,263.3919067,83.13564301,32.74890137,83.15698242,9.287248611,83.17764282,242.9730072,83.24547577,168.7479706,83.22497559,13.45891953,83.20400238,232.6294403,
84.0008316,31.87883186,84.02114105,10.43977547,84.04191589,261.8592224,84.10968781,33.18782043,84.08850098,12.24346161,84.06800079,265.2805176,84.13455963,33.47325134,84.15523529,8.653786659,84.17648315,238.9377136,84.24202728,171.2539215,84.22083282,12.92790699,84.20100403,224.292572,
85.0008316,32.24759674,85.02183533,11.12925625,85.04299927,255.4407349,85.10923004,34.66868591,85.08824921,12.09140015,85.06781769,261.558075,85.13648224,32.78494644,85.15731812,9.471416473,85.17764282,242.951355,85.24601746,171.9685974,85.22466278,13.13335705,85.20401764,227.1894836,
86.0008316,31.15236092,86.02080536,10.52935982,86.04158783,264.9812622,86.10939789,35.10622787,86.0885849,13.22133923,86.06797791,263.2965698,86.13347626,33.33038712,86.15466309,8.728363991,86.17525482,237.780899,86.24316406,170.7860565,86.22216797,12.59564781,86.20166779,225.2994232,
87.0008316,31.5529995,87.02099609,11.02530766,87.04166412,265.7651672,87.10948181,34.15538025,87.08833313,12.38297272,87.06785583,260.2427063,87.13572693,33.43616104,87.1570816,9.239377975,87.17842102,236.0108032,87.24633026,172.3503876,87.22514343,13.31632805,87.20417023,233.9395752,
88.0008316,31.42835236,88.02101898,9.95293808,88.04256439,265.7298584,88.11014557,33.43856812,88.08947754,13.14213753,88.06797791,264.4649048,88.13464355,32.67818451,88.15499878,9.547416687,88.17630768,234.5325775,88.24185181,178.5082397,88.22166443,12.21117687,88.20100403,225.5953369,
89.0008316,30.84482956,89.0215683,10.46615505,89.04202271,257.0866394,89.110672,32.83314133,89.08931732,12.15314674,89.06867218,259.0282898,89.13664246,33.86391449,89.15774536,9.432948112,89.17900085,231.7703247,89.24684906,181.8923035,89.22566986,12.84065819,89.20449829,229.2103882,
