Sample A1_Ex465_Em530,,Sample A1_Ex465_Em590,,Sample A2_Ex465_Em530,,Sample A2_Ex465_Em590,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
128.0083313,41.98278427,128.0272369,192.1580505,128.0634155,57.25515747,128.0823364,128.8114929,
128.5083313,41.71518326,128.5272369,192.4008026,128.5635681,57.64076996,128.5824738,129.4384308,
129.0083313,41.83749771,129.0272522,192.0505371,129.0642548,57.31163406,129.0832062,129.039566,
129.5083313,41.59085464,129.5272369,191.974472,129.5644226,56.72418594,129.5833282,129.132019,
130.0083313,41.66769028,130.0272369,193.0606689,130.062912,57.60624695,130.0818329,129.323761,
130.5083313,42.01249695,130.5272369,191.6228485,130.5629578,57.83401489,130.5818787,128.0323639,
131.0083313,41.94878769,131.0272369,191.71698,131.0622406,57.39058304,131.0811615,128.8038635,
131.5083313,41.59524155,131.5272369,190.5404968,131.5649872,57.58737564,131.5838928,129.9562988,
132.0083313,41.76844025,132.0272369,190.1468658,132.0639191,57.12528992,132.08284,128.2581177,
132.5083313,41.82316589,132.5272369,190.7411652,132.5635834,57.06010818,132.5825043,128.3225708,
133.0083313,42.06719971,133.0272369,193.0291443,133.0622406,57.17105865,133.0811615,128.8626404,
133.5083313,41.50650787,133.5272369,190.9819031,133.5632477,57.74772263,133.5821686,129.5140839,
134.0083313,41.59020233,134.0272369,190.9161377,134.0640869,57.50265503,134.0829926,127.813118,
134.5083313,41.52905655,134.5272369,190.2648315,134.5627594,57.1894722,134.581665,128.2636108,
135.0083313,41.59512329,135.0272369,190.8521271,135.0634155,56.35200119,135.0823364,128.3981628,
135.5083313,41.5267334,135.5272369,190.1353912,135.563324,57.13166809,135.5822296,127.2279892,
136.0083313,41.79254913,136.0272369,191.822052,136.0644684,57.01377869,136.083374,128.3329773,
136.5083313,41.22701645,136.5272369,190.9911194,136.5627441,57.01019287,136.5816803,128.4054718,
137.0083313,41.5557785,137.0272369,190.6860046,137.0632324,56.72012329,137.0821381,126.9890518,
137.5083313,41.4879303,137.5272369,189.0150146,137.5638123,57.39011765,137.5827332,127.4955292,
138.0083313,41.58366776,138.0272369,190.3999023,138.0630035,56.63317871,138.0818939,126.7117691,
138.5083313,41.57112885,138.5272369,190.4725494,138.5634155,57.12250519,138.5823364,126.7330627,
139.0083313,41.6022644,139.0272369,191.5335083,139.0632477,56.91875839,139.0821686,126.8719406,
