Wavelength (nm),Intensity (a.u.),Z Axis,
,Sample A1,Sample A2,Sample A3,Sample A4,Sample A5,Sample A6,Sample A7,Sample B7,Sample B6,Sample B5,Sample B4,Sample B3,Sample B2,Sample B1,Sample C1,Sample C2,Sample C3,Sample C4,Sample C5,Sample C6,Sample C7
443.070007324219,104.356285095215,97.7469100952148,104.107284545898,111.841430664062,83.3284454345703,109.017837524414,0.75819319486618,0.644556403160095,110.730331420898,115.885322570801,105.1845703125,107.563606262207,68.506706237793,97.7124710083008,107.457069396973,104.949195861816,105.386199951172,71.7466125488281,77.4362258911133,104.761047363281,0.728249251842499
444,106.452178955078,99.6189346313477,91.274055480957,111.64680480957,84.9816741943359,109.130310058594,1.02206909656525,0.459568440914154,109.215515136719,116.442237854004,110.226234436035,109.184883117676,63.6977767944336,103.304763793945,104.882591247559,101.670402526855,96.5049362182617,75.9663696289063,71.1060256958008,100.794975280762,0.63915091753006
445.070007324219,100.678932189941,99.153694152832,98.9197158813477,115.994842529297,85.4861526489258,111.953948974609,0.394739598035812,0.962213099002838,114.609275817871,116.813186645508,116.57592010498,118.652687072754,73.5260772705078,105.371948242187,114.299774169922,107.380004882813,96.4914016723633,76.7175903320312,83.2009429931641,101.333099365234,0.811296343803406
446,108.505485534668,99.3779449462891,105.897247314453,112.409858703613,83.0228958129883,103.966552734375,0.429509311914444,0.71388041973114,107.612838745117,112.12841796875,105.71760559082,114.485931396484,69.9360198974609,107.295539855957,111.824668884277,112.692253112793,89.947624206543,75.8277359008789,75.5520782470703,106.073738098145,0.984171271324158
447.070007324219,107.229187011719,93.7850875854492,107.523880004883,112.884162902832,78.8108520507812,110.862930297852,0.717223942279816,1.16249287128448,117.73706817627,109.060493469238,104.940292358398,113.558319091797,68.6214141845703,114.216163635254,105.543754577637,105.687858581543,99.1704406738281,77.2442626953125,76.2856674194336,109.304870605469,1.23322606086731
448,108.02507019043,104.263893127441,106.821060180664,120.72868347168,86.3002471923828,124.517448425293,0.633548259735107,0.464507400989532,114.41773223877,115.938026428223,115.59854888916,119.536987304687,69.2681198120117,102.907341003418,109.612548828125,105.776138305664,110.120040893555,79.8384475708008,73.8933258056641,108.671981811523,0.721703231334686
449.070007324219,111.062789916992,108.223617553711,105.769844055176,112.599769592285,82.7978057861328,116.725982666016,0.888888895511627,0.785302400588989,118.504737854004,111.061531066895,109.200218200684,121.131805419922,66.874153137207,110.129745483398,120.18253326416,105.531173706055,105.857330322266,79.8934783935547,84.3683624267578,110.755592346191,1.07213306427002
450,103.772956848145,103.100555419922,105.917724609375,116.999626159668,83.1562957763672,118.4287109375,1.24690639972687,0.833485782146454,117.842552185059,120.738082885742,104.441337585449,114.545883178711,73.786735534668,117.217811584473,123.678863525391,109.938117980957,103.822715759277,77.9804229736328,76.6464691162109,110.093193054199,0.661799192428589
451.059997558594,109.844367980957,103.091415405273,117.278167724609,114.690956115723,84.0656585693359,121.021575927734,1.31599926948547,0.905536115169525,126.518814086914,117.598236083984,113.607986450195,118.302680969238,77.2486190795898,111.831733703613,114.545341491699,114.24161529541,111.949287414551,78.5684661865234,76.9829635620117,104.317848205566,0.9765625
451.959991455078,111.930313110352,110.657554626465,109.138648986816,113.410270690918,90.0274353027344,118.88264465332,0.989063322544098,0.635647118091583,117.584701538086,109.953155517578,121.464874267578,122.621688842773,79.3386840820312,111.504852294922,119.875328063965,113.439292907715,102.348007202148,92.829948425293,85.3929824829102,104.963729858398,0.485270023345947
453.029998779297,110.403869628906,109.520904541016,106.199005126953,122.635871887207,85.9090118408203,114.7568359375,0.526326417922974,0.639343917369843,122.992225646973,120.966049194336,117.384391784668,124.714981079102,73.4012603759766,120.77286529541,123.333602905273,119.384056091309,105.28832244873,84.8574371337891,81.0590133666992,112.947196960449,0.536613583564758
