Sample A1,,Sample A2,,Sample A3,,Sample A4,,Sample A5,,Sample A6,,Sample A7,,Sample A8,,Sample A9,,Sample A10,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
80.0008316,25.19061852,80.02046204,25.78845978,80.04187775,33.85982132,80.0620575,29.61567307,80.08306122,25.697752,80.10408783,30.63285065,80.12429047,22.20463943,80.14539337,23.46964073,80.1667099,22.86907387,80.18704224,27.76485443,
81.0008316,20.29156876,81.02089691,27.13447952,81.04122925,33.16798782,81.06253815,32.44096756,81.08356476,35.52915192,81.10389709,28.55738449,81.12512207,22.54752541,81.14646149,22.54259491,81.16662598,20.09753227,81.18771362,28.69117355,
82.0008316,26.8717289,82.02072906,28.08820724,82.04122925,33.29453278,82.06191254,33.94426346,82.08303833,29.27488136,82.10323334,26.1758194,82.12389374,22.50896835,82.14539337,22.94732857,82.16591644,19.88582611,82.18657684,31.00794029,
83.0008316,20.48038483,83.02071381,27.13025475,83.04125214,28.28722382,83.06253815,34.05639648,83.08370972,27.23886108,83.10405731,28.96885109,83.12525177,25.09733772,83.14637756,22.2381134,83.16673279,24.23338318,83.18708801,30.52766037,
84.0008316,24.34821701,84.02087402,29.05551147,84.04203796,31.54681206,84.06239319,31.47008324,84.08337402,29.22118759,84.10387421,27.03842545,84.12525177,22.15718079,84.14631653,22.50018692,84.16641235,22.72840309,84.18771362,25.76594543,
85.0008316,23.37880707,85.02120972,29.34658241,85.04137421,31.39763641,85.06237793,29.3304615,85.08341217,26.88158798,85.10414124,26.03285217,85.12537384,23.6302948,85.14589691,24.01164246,85.16612244,21.13642502,85.18671417,33.78327942,
86.0008316,22.71323013,86.02187347,27.83041191,86.04292297,30.90253067,86.06306458,29.92482758,86.08408356,28.73112488,86.10512543,28.9883213,86.12562561,22.00513268,86.14698029,22.50757027,86.16786957,20.89374924,86.18806458,30.42215538,
87.0008316,26.26334572,87.02124786,28.9752655,87.04273224,33.28865051,87.06389618,31.0269413,87.08481598,27.19665337,87.10504913,26.40207863,87.12589264,24.29817772,87.14641571,22.25183868,87.16737366,19.83430862,87.18789673,31.07283211,
88.0008316,21.73375511,88.02120972,28.35416222,88.04154205,30.08429337,88.06258392,34.45920944,88.08289337,31.23655701,88.10404205,24.89201355,88.12506866,24.8297081,88.14539337,21.81077957,88.16639709,19.84642982,88.18704224,29.83652306,
89.0008316,21.4976368,89.02246094,30.46907616,89.04304504,33.62317276,89.06356812,29.98231888,89.08462524,29.68460083,89.10564423,30.83710861,89.12589264,23.75285149,89.14691925,21.97914696,89.16797638,21.59476662,89.18806458,31.41398811,
90.0008316,24.74246979,90.02164459,33.06149292,90.04273224,29.19851685,90.06256866,31.83376122,90.08374786,29.78161812,90.10471344,31.60083961,90.12556458,21.09290886,90.14595795,24.75026512,90.16714478,21.8714447,90.18771362,27.64299393,
