Sample M4,,
Time (min),Intensity (a.u.),
50.87916565,263.4480286,
50.88083649,245.5185089,
50.88249969,262.9006653,
50.88416672,245.3526459,
50.88583755,230.9007874,
50.88750076,239.8553925,
50.88916779,235.2651672,
50.89083099,264.6387634,
50.89250183,255.0275574,
50.89416885,250.0707092,
50.89583206,244.3212738,
50.8975029,278.2096252,
50.89916611,250.562149,
50.90083313,216.368515,
50.90250397,241.6226807,
50.90416718,268.2251282,
50.9058342,247.6059723,
50.90749741,220.6020203,
50.90916824,245.5634155,
50.91083527,212.7936859,
50.91249847,263.2572021,
50.91416931,239.4906616,
50.91583252,199.5581512,
50.91749954,213.316864,
50.91917038,242.7821045,
50.92083359,260.7638855,
50.92250061,240.8541718,
50.92416763,245.484436,
50.92583466,273.4577637,
50.92750168,251.0783234,
50.92916489,236.6305695,
50.93083572,232.633194,
50.93249893,249.4993439,
50.93416595,230.9367218,
50.93583679,275.2957764,
50.9375,284.3237,
50.93916702,243.2719421,
50.94083405,225.5032806,
50.94250107,244.3130188,
50.94416809,264.3580933,
50.94583511,234.6806946,
50.94750214,227.4611359,
50.94916534,235.5265808,
50.95083237,221.5713654,
50.9525032,258.8465271,
50.95416641,231.7173767,
50.95583344,212.5919952,
50.95750046,229.213562,
50.95916748,236.6958618,
50.9608345,225.9103394,
50.96250153,225.8307495,
50.96416855,237.2162781,
50.96583176,244.359848,
50.96750259,263.2451172,
50.96916962,287.9623108,
50.97083282,239.6447906,
50.97249985,231.9642181,
50.97416687,227.2203827,
50.97583389,227.8241119,
50.97750092,217.6594391,
50.97916794,242.8373718,
50.98083496,252.1450043,
50.98249817,224.4014587,
50.98416901,219.9635925,
50.98583603,257.1761169,
50.98749924,225.6290894,
50.98917007,230.6106567,
50.99083328,259.0942688,
50.99250031,270.6992493,
50.99416733,284.0714722,
50.99583435,253.5663452,
50.99750137,255.4638977,
50.99916458,242.5260773,
51.00083542,241.0263519,
51.00250244,228.7050323,
51.00416565,258.8794861,
51.00583649,256.9675903,
51.00749969,225.8839722,
51.00916672,239.4681854,
51.01083755,243.0331116,
51.01250076,209.5503082,
51.01416779,249.4691467,
51.01583099,233.5010834,
51.01750183,255.9805298,
51.01916885,269.145813,
51.02083206,312.1564941,
51.0225029,267.9562073,
51.02416611,226.6531677,
51.02583313,260.2457581,
51.02750397,258.452179,
51.02916718,230.1080627,
51.0308342,253.6090546,
51.03249741,271.6148376,
51.03416824,269.5412903,
51.03583527,270.7438049,
51.03749847,257.3557129,
51.03916931,224.7040405,
51.04083252,241.0974579,
51.04249954,239.1216888,
51.04417038,255.4894409,
51.04583359,208.5070343,
51.04750061,258.9357605,
51.04916763,251.1528931,
51.05083466,218.6572266,
51.05250168,242.6407471,
51.05416489,231.48172,
51.05583572,219.4827881,
51.05749893,238.7231445,
51.05916595,220.5788727,
51.06083679,256.1557007,
51.0625,229.6082458,
51.06416702,247.2661285,
51.06583405,283.3693848,
51.06750107,221.688858,
51.06916809,230.7874298,
51.07083511,224.2194519,
51.07250214,230.873642,
51.07416534,257.1488342,
51.07583237,241.217514,
51.0775032,235.7122498,
51.07916641,227.1528473,
51.08083344,237.2054138,
51.08250046,259.954895,
51.08416748,243.6800842,
51.0858345,264.007843,
51.08750153,262.022583,
51.08916855,262.2450867,
51.09083176,252.2454376,
51.09250259,239.200882,
51.09416962,261.1079102,
51.09583282,264.4940491,
51.09749985,228.4586792,
51.09916687,231.9906921,
51.10083389,266.5123291,
51.10250092,264.1154785,
51.10416794,248.7354431,
51.10583496,252.947113,
51.10749817,232.8185577,
