Sample E1_Ex465_Em530,,Sample E1_Ex465_Em590,,Sample E2_Ex465_Em530,,Sample E2_Ex465_Em590,,Sample E3_Ex465_Em530,,Sample E3_Ex465_Em590,,Sample E4_Ex465_Em530,,Sample E4_Ex465_Em590,,Sample E5_Ex465_Em530,,Sample E5_Ex465_Em590,,Sample E6_Ex465_Em530,,Sample E6_Ex465_Em590,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
9.000833511,45.63664627,9.004749298,158.6773071,9.026687622,47.92904663,9.030604362,164.3040009,9.051687241,41.89920807,9.055603981,153.7824707,9.076687813,51.82048798,9.0806036,173.896347,9.101687431,42.30443954,9.105604172,153.4384308,9.127687454,43.88290787,9.131604195,162.0245056,
10.00083351,45.28355408,10.0047493,156.9422455,10.02666664,46.58793259,10.03058338,163.1935272,10.05168724,42.77332687,10.05560398,149.5453949,10.07668781,49.07205582,10.0806036,175.3980865,10.10168743,42.49169159,10.10560417,152.7011414,10.12768745,45.58241272,10.13160419,158.6395416,
11.00083351,47.15500259,11.0047493,158.3937531,11.02589607,47.37294006,11.02981281,170.880722,11.05089664,42.67874146,11.05481243,150.4742584,11.07589626,47.99855423,11.079813,173.8774872,11.09991646,42.94198608,11.1038332,146.9060516,11.12475014,45.25551605,11.12866592,157.4055939,
12.00083351,45.09476852,12.0047493,161.8416901,12.02685452,46.95836639,12.03077126,167.2726593,12.05268764,43.76622391,12.05660439,153.2830811,12.07752037,47.4768486,12.08143711,173.7187653,12.10302162,43.42672348,12.10693741,151.2836151,12.12802124,44.53151703,12.13193798,160.572876,
13.00083351,46.72595978,13.0047493,158.6893005,13.02577114,46.6341095,13.0296669,164.6318359,13.05085468,43.62213135,13.05477047,149.7737274,13.07668781,50.77466965,13.0806036,177.4138641,13.10172939,43.0541153,13.10564613,150.6207581,13.12652111,44.68016052,13.1304369,157.6027374,
14.00083351,45.78395462,14.0047493,161.9250183,14.02610397,47.77265549,14.02999973,163.7893219,14.05118752,42.09113312,14.05510426,152.8654633,14.07618713,49.8401947,14.08010483,173.5984802,14.10218716,43.16965485,14.10610485,153.5085449,14.12718678,44.03001022,14.13110447,157.9109497,
15.00083351,47.7322731,15.0047493,159.7198792,15.02600002,46.52730179,15.02991676,169.0704193,15.05099964,41.97900009,15.05491638,149.8452606,15.07602119,49.47261429,15.07993793,172.4130249,15.10202122,43.98212814,15.10593796,154.9691315,15.12702084,45.14592743,15.13093758,157.2469635,
16.00083351,45.26942444,16.00477028,159.5296326,16.02518654,48.45248413,16.02910423,162.736618,16.05166626,42.90634918,16.05558395,154.8136139,16.07649994,50.17414093,16.08041763,175.4063568,16.10193825,42.44380188,16.10583305,153.4418182,16.1278553,43.90662384,16.13177109,160.7213593,
17.00083351,45.55003738,17.0047493,158.5760956,17.02752113,47.24880981,17.03143692,167.7769928,17.05185509,42.86364365,17.05577087,153.2771606,17.07702065,49.15688324,17.08093643,178.9833221,17.10251999,45.14986038,17.10643768,153.4805298,17.12756348,44.96905518,17.13147926,162.3930359,
18.00083351,47.19301605,18.00475121,165.0188446,18.02408218,46.6414299,18.02800179,170.4619141,18.04866791,43.07011032,18.05258369,155.455307,18.07385445,47.50018692,18.07777023,175.5170288,18.09918785,43.0152092,18.10310555,153.3782959,18.12475014,45.74860382,18.12866592,161.8103943,
19.00083351,45.91990662,19.00477028,155.3274994,19.02727127,47.32083893,19.03116608,166.4499512,19.05202103,44.06913376,19.05593681,155.3547516,19.07658195,46.22579956,19.08049965,172.0204315,19.10202026,43.42939758,19.10593605,152.8919067,19.12752151,46.08400726,19.1314373,161.5050964,
20.00083351,46.67594528,20.00475121,158.3566589,20.02556229,47.30098343,20.02947998,168.3014832,20.050354,41.9707489,20.05426979,150.0287323,20.07568741,48.73928833,20.0796032,176.0516052,20.10083389,43.98416901,20.10474968,154.6894531,20.12652206,44.45605087,20.13043785,160.3713837,
21.00083351,46.44207382,21.00475121,156.0332794,21.02558327,47.25616455,21.02950096,165.1964722,21.0511055,44.88161087,21.05500031,155.3525391,21.07600021,49.89595795,21.07991791,176.34552,21.1013546,43.45726776,21.10527229,154.2389832,21.12685394,45.51274109,21.13076973,162.1759644,
22.00083351,43.37479401,22.00475121,157.3087921,22.02483368,48.44096375,22.02874947,170.9363861,22.04999924,43.80403519,22.05391693,154.8891144,22.07568741,49.21805954,22.0796032,174.5420074,22.10041618,43.73921204,22.10433388,150.098999,22.12585449,45.27853394,22.12977028,157.8886261,
23.00083351,46.70993423,23.00477028,160.4215851,23.02652168,46.06799316,23.03043747,167.0954895,23.05191612,42.45869064,23.05583382,151.2976379,23.07775116,48.82287979,23.08166695,174.5922699,23.10225105,43.59598541,23.10616684,154.2422333,23.12768745,46.0175705,23.13160324,157.8605194,
