Sample E1,,Sample E2,,Sample E3,,Sample E4,,Sample E5,,Sample E6,,Sample E7,,Sample E8,,Sample E9,,Sample E10,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
481.9599915,160.8878784,481.9599915,159.9752808,481.9599915,159.838623,481.9599915,166.7742615,481.9599915,164.3881073,481.9599915,166.8216248,481.9599915,170.6616364,481.9599915,179.005722,481.9599915,171.250473,481.9599915,6.759801865,
483.0299988,161.150528,483.0299988,163.0059052,483.0299988,163.5624542,483.0299988,162.0569305,483.0299988,163.9948578,483.0299988,164.9882813,483.0299988,171.1474762,483.0299988,178.647644,483.0299988,166.6938934,483.0299988,6.447705746,
483.9299927,158.7388306,483.9299927,163.589447,483.9299927,162.5588226,483.9299927,168.4882965,483.9299927,167.8138275,483.9299927,167.1483917,483.9299927,171.3925476,483.9299927,178.2354736,483.9299927,167.2038422,483.9299927,6.753016949,
485,159.5459747,485,163.1798401,485,156.2166443,485,165.6812134,485,168.100235,485,165.0748596,485,170.0574036,485,173.5972748,485,161.454834,485,6.402545452,
486.0599976,157.3925018,486.0599976,159.8865662,486.0599976,159.5199432,486.0599976,167.2940826,486.0599976,163.4392242,486.0599976,165.4846802,486.0599976,164.4085541,486.0599976,175.8135223,486.0599976,161.6598969,486.0599976,6.396661282,
486.9599915,158.6134949,486.9599915,158.2417908,486.9599915,157.6179047,486.9599915,169.9868317,486.9599915,158.7975006,486.9599915,158.7431488,486.9599915,171.4452209,486.9599915,171.7041931,486.9599915,162.5142822,486.9599915,6.558251858,
488.0299988,152.5066223,488.0299988,162.6622009,488.0299988,157.785614,488.0299988,161.8120728,488.0299988,157.0295715,488.0299988,158.6026154,488.0299988,162.3179626,488.0299988,171.8259125,488.0299988,162.0015411,488.0299988,5.963311195,
488.9299927,150.7555847,488.9299927,158.3970184,488.9299927,156.2310638,488.9299927,162.461792,488.9299927,161.1826324,488.9299927,159.1881256,488.9299927,162.7475281,488.9299927,173.6977692,488.9299927,161.9964905,488.9299927,5.761089802,
490,152.1555634,490,155.3427582,490,152.2925262,490,158.7905579,490,159.3286285,490,162.7550507,490,165.023056,490,171.3912506,490,161.0343475,490,5.38841486,
491.0400085,151.4418488,491.0400085,150.6373596,491.0400085,145.3446045,491.0400085,157.5741425,491.0400085,153.9542999,491.0400085,153.2286377,491.0400085,159.5683899,491.0400085,168.9817505,491.0400085,154.5350189,491.0400085,4.724526882,
491.9400024,148.8858185,491.9400024,151.5991974,491.9400024,145.300705,491.9400024,154.1347656,491.9400024,152.6536865,491.9400024,158.4667358,491.9400024,156.3630829,491.9400024,166.6167603,491.9400024,157.6800385,491.9400024,5.013168812,
492.980011,149.6804962,492.980011,151.088913,492.980011,148.556427,492.980011,150.9707794,492.980011,148.329895,492.980011,150.3003693,492.980011,159.8639526,492.980011,165.9494019,492.980011,152.5710907,492.980011,4.770197392,
494.019989,141.5709686,494.019989,147.427002,494.019989,148.9444122,494.019989,148.7882538,494.019989,150.895874,494.019989,149.8261108,494.019989,155.5036316,494.019989,164.7636108,494.019989,149.9135742,494.019989,4.332158089,
495.0700073,139.1777344,495.0700073,148.4198303,495.0700073,142.2913361,495.0700073,146.4524841,495.0700073,148.890274,495.0700073,146.0329742,495.0700073,154.9119415,495.0700073,158.7664032,495.0700073,146.2077179,495.0700073,4.282341957,
495.9700012,138.7819214,495.9700012,142.5259247,495.9700012,143.1885223,495.9700012,149.5553741,495.9700012,148.183197,495.9700012,147.4061279,495.9700012,151.1655273,495.9700012,152.6905975,495.9700012,149.3617706,495.9700012,3.973510027,
497.0100098,135.9212494,497.0100098,143.5957336,497.0100098,137.7623749,497.0100098,142.9519043,497.0100098,146.2887573,497.0100098,147.0572357,497.0100098,150.6963501,497.0100098,158.5992889,497.0100098,144.3520355,497.0100098,3.582525969,
498.0499878,134.4976501,498.0499878,136.4395905,498.0499878,137.4252319,498.0499878,139.5744629,498.0499878,140.7000122,498.0499878,145.2185211,498.0499878,146.8419647,498.0499878,153.8612671,498.0499878,142.0393829,498.0499878,3.10458684,
498.9500122,131.9720306,498.9500122,137.4039917,498.9500122,134.0364685,498.9500122,140.9306335,498.9500122,141.8427429,498.9500122,140.4035797,498.9500122,143.7770538,498.9500122,148.3914337,498.9500122,139.5269318,498.9500122,3.595388174,
500,129.5731964,500,135.6158905,500,130.1225433,500,136.6592102,500,140.3493958,500,137.049408,500,142.7534485,500,153.9510345,500,137.8866272,500,3.144955397,
501.0599976,131.2644501,501.0599976,132.5222473,501.0599976,134.5979919,501.0599976,132.9030609,501.0599976,139.0301971,501.0599976,136.3974152,501.0599976,137.9088593,501.0599976,146.8703918,501.0599976,136.3441772,501.0599976,3.062034607,
501.9599915,124.834549,501.9599915,132.9546814,501.9599915,128.6996765,501.9599915,134.7113037,501.9599915,131.3486023,501.9599915,131.997818,501.9599915,137.9108734,501.9599915,143.0304718,501.9599915,135.6381073,501.9599915,2.835170746,
503.0299988,123.515625,503.0299988,124.5131302,503.0299988,126.480896,503.0299988,130.3862305,503.0299988,129.0499878,503.0299988,132.0552673,503.0299988,133.8786469,503.0299988,143.3508911,503.0299988,132.7729645,503.0299988,2.804059744,
503.9299927,124.2237167,503.9299927,126.0443497,503.9299927,124.8452072,503.9299927,130.8667297,503.9299927,128.941803,503.9299927,129.7393799,503.9299927,132.4949341,503.9299927,134.5798645,503.9299927,129.6420746,503.9299927,2.857302904,
505,119.5924072,505,128.5879364,505,122.8862686,505,122.5102081,505,128.1274567,505,126.3126602,505,127.6228104,505,133.9518738,505,125.0073166,505,2.72745347,
506.0599976,116.370697,506.0599976,120.8612213,506.0599976,119.9817734,506.0599976,121.5956879,506.0599976,124.1347122,506.0599976,122.9485855,506.0599976,127.1993256,506.0599976,131.4808655,506.0599976,124.768898,506.0599976,2.771106482,
506.9599915,112.5179443,506.9599915,117.5922012,506.9599915,119.1839066,506.9599915,119.7744064,506.9599915,122.2563629,506.9599915,120.8239746,506.9599915,125.9495926,506.9599915,128.9137115,506.9599915,120.5310211,506.9599915,2.598552465,
508.0299988,114.6453247,508.0299988,117.470108,508.0299988,115.7841415,508.0299988,117.7942123,508.0299988,121.0164261,508.0299988,118.7836838,508.0299988,123.3923492,508.0299988,127.6216507,508.0299988,118.3198776,508.0299988,2.907789469,
508.9299927,110.5473633,508.9299927,114.7121964,508.9299927,113.5178375,508.9299927,116.5965424,508.9299927,114.6061478,508.9299927,115.4636612,508.9299927,121.7635803,508.9299927,126.7116394,508.9299927,114.3516083,508.9299927,2.624094009,
510,107.4124985,510,112.3646774,510,111.399765,510,112.4086456,510,113.6214066,510,115.6695328,510,119.3355942,510,126.3415527,510,118.7984619,510,2.520490646,
511.0400085,104.1539841,511.0400085,110.2923279,511.0400085,106.6368484,511.0400085,112.2604904,511.0400085,114.0318146,511.0400085,110.0293427,511.0400085,115.9341736,511.0400085,122.4347687,511.0400085,112.6473312,511.0400085,2.292046309,
511.9400024,104.8974686,511.9400024,107.0518417,511.9400024,104.4257278,511.9400024,111.1071777,511.9400024,110.8904572,511.9400024,111.3241653,511.9400024,115.0953369,511.9400024,118.3578873,511.9400024,111.4801025,511.9400024,2.276504993,
